id,street_id,ward_id,district_id,city_id,country_id,full_address,created_at,updated_at,tsv
2674841,8630,1639,115,8,1,"Đường Nguyễn Đức Cảnh, Phường Mỹ Phước, Thành phố Long Xuyên, Tỉnh An Giang",2018-06-11 13:39:38,2018-06-11 13:39:38,canh':4A 'duc':3A 'duong':1A 'giang':14A 'long':10A 'nguyen':2A 'pho':9A 'phuoc':7A 'phuong':5A 'thanh':8A 'tinh':12A 'xuyen':11A
2674844,13193,7273,476,42,1,"Đường Nguyễn Văn Cừ, Phường Ninh Phong, Thành phố Ninh Bình, Tỉnh Ninh Bình",2018-06-12 3:37:52,2018-06-12 3:37:52,"binh':11A,14A 'cu':4A 'duong':1A 'nguyen':2A 'ninh':6A,10A,13A 'pho':9A 'phong':7A 'phuong':5A 'thanh':8A 'tinh':12A 'van':3A"
2674846,6096,1019,64,4,1,"Đường Như Nguyệt, Phường Hòa Cường Nam, Quận Hải Châu, Thành phố Đà Nẵng",2018-06-12 7:25:31,2018-06-12 7:25:31,chau':10A 'cuong':6A 'da':13A 'duong':1A 'hai':9A 'hoa':5A 'nam':7A 'nang':14A 'nguyet':3A 'nhu':2A 'pho':12A 'phuong':4A 'quan':8A 'thanh':11A
2674847,,7754,508,45,1,"Xã An Hiệp, Huyện Tuy An, Tỉnh Phú Yên",2018-06-12 7:44:20,2018-06-12 7:44:20,hiep':3A 'huyen':4A 'phu':8A 'tinh':7A 'tuy':5A 'xa':1A 'yen':9A
2674851,622,63,5,1,1,"Đường Nguyễn Thị Lắng, Xã Tân An Hội, Huyện Củ Chi, Thành phố Hồ Chí Minh",2018-06-12 10:17:23,2018-06-12 10:17:23,"chi':11A,15A 'cu':10A 'duong':1A 'ho':14A 'hoi':8A 'huyen':9A 'lang':4A 'minh':16A 'nguyen':2A 'pho':13A 'tan':6A 'thanh':12A 'thi':3A 'xa':5A"
2674857,5227,943,58,3,1,"Đường N1, Phường An Bình, Thị xã Dĩ An, Tỉnh Bình Dương",2018-06-13 5:52:23,2018-06-13 5:52:23,"binh':5A,11A 'di':8A 'duong':1A,12A 'n1':2A 'phuong':3A 'thi':6A 'tinh':10A 'xa':7A"
2674858,300,17,2,1,1,"Đường 17C, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh",2018-06-13 8:11:34,2018-06-13 8:11:34,17c':2A 'binh':7A 'chi':12A 'duong':1A 'ho':11A 'lac':5A 'minh':13A 'pho':10A 'phuong':3A 'quan':6A 'tan':8A 'thanh':9A
2674859,9518,2540,169,14,1,"Đường Tăng Bạt Hổ, Xã Nhơn Lý, Thành phố Quy Nhơn, Tỉnh Bình Định",2018-06-13 8:47:12,2018-06-13 8:47:12,"bat':3A 'binh':13A 'dinh':14A 'duong':1A 'ho':4A 'ly':7A 'nhon':6A,11A 'pho':9A 'quy':10A 'tang':2A 'thanh':8A 'tinh':12A 'xa':5A"
2674860,,3916,277,24,1,"Xã Tân Long, Huyện Thanh Bình, Tỉnh Đồng Tháp",2018-06-13 10:11:06,2018-06-13 10:11:06,binh':6A 'dong':8A 'huyen':4A 'long':3A 'tan':2A 'thanh':5A 'thap':9A 'tinh':7A 'xa':1A
2674861,4184,523,35,2,1,"Phố Nguyễn Đình Chiểu, Phường Bách Khoa, Quận Hai Bà Trưng, Thành phố Hà Nội",2018-06-14 1:19:08,2018-06-14 1:19:08,"ba':10A 'bach':6A 'chieu':4A 'dinh':3A 'ha':14A 'hai':9A 'khoa':7A 'nguyen':2A 'noi':15A 'pho':1A,13A 'phuong':5A 'quan':8A 'thanh':12A 'trung':11A"
2674865,11870,5547,372,33,1,"Đường Liên Hoa, Xã Vĩnh Trung, Thành phố Nha Trang, Tỉnh Khánh Hòa",2018-06-14 4:08:56,2018-06-14 4:08:56,"duong':1A 'hoa':3A,13A 'khanh':12A 'lien':2A 'nha':9A 'pho':8A 'thanh':7A 'tinh':11A 'trang':10A 'trung':6A 'vinh':5A 'xa':4A"
2674866,5665,,63,4,1,"Phố 66, Quận Cẩm Lệ, Thành phố Đà Nẵng",2018-06-14 6:42:00,2018-06-14 6:42:00,"66':2A 'cam':4A 'da':8A 'le':5A 'nang':9A 'pho':1A,7A 'quan':3A 'thanh':6A"
2674868,4862,800,49,2,1,"Đường 21, Xã Thạch Xá, Huyện Thạch Thất, Thành phố Hà Nội",2018-06-15 1:55:47,2018-06-15 1:55:47,"21':2A 'duong':1A 'ha':11A 'huyen':6A 'noi':12A 'pho':10A 'thach':4A,7A 'thanh':9A 'xa':3A,5A"
2674870,644,55,5,1,1,"Đường Suối Lội, Thị trấn Củ Chi, Huyện Củ Chi, Thành phố Hồ Chí Minh",2018-06-15 10:52:40,2018-06-15 10:52:40,"chi':7A,10A,14A 'cu':6A,9A 'duong':1A 'ho':13A 'huyen':8A 'loi':3A 'minh':15A 'pho':12A 'suoi':2A 'thanh':11A 'thi':4A 'tran':5A"
2674873,4601,607,39,2,1,"Đường Thạch Bàn, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội",2018-06-16 1:26:50,2018-06-16 1:26:50,ban':3A 'bien':9A 'duong':1A 'ha':12A 'hung':6A 'long':8A 'noi':13A 'pho':11A 'phuong':4A 'quan':7A 'thach':2A 'thanh':10A 'viet':5A
2674877,653,63,5,1,1,"Phố Trần Tử Bình, Xã Tân An Hội, Huyện Củ Chi, Thành phố Hồ Chí Minh",2018-06-16 9:39:29,2018-06-16 9:39:29,"binh':4A 'chi':11A,15A 'cu':10A 'ho':14A 'hoi':8A 'huyen':9A 'minh':16A 'pho':1A,13A 'tan':6A 'thanh':12A 'tran':2A 'tu':3A 'xa':5A"
2674882,7867,1487,102,7,1,"Đường GD3, Xã Long Phước, Thành phố Bà Rịa, Tỉnh Bà Rịa Vũng Tàu",2018-06-17 7:21:59,2018-06-17 7:21:59,"ba':8A,11A 'duong':1A 'gd3':2A 'long':4A 'pho':7A 'phuoc':5A 'ria':9A,12A 'tau':14A 'thanh':6A 'tinh':10A 'vung':13A 'xa':3A"
2674885,,1892,128,9,1,"Xã Hoàng Ninh, Huyện Việt Yên, Tỉnh Bắc Giang",2018-06-20 12:01:27,2018-06-20 12:01:27,bac':8A 'giang':9A 'hoang':2A 'huyen':4A 'ninh':3A 'tinh':7A 'viet':5A 'xa':1A 'yen':6A
2674886,3776,452,31,2,1,"đường Bắc Hà, Xã Tiên Dương, Huyện Đông Anh, Thành phố Hà Nội",2018-06-20 12:03:52,2018-06-20 12:03:52,"anh':9A 'bac':2A 'dong':8A 'duong':1A,6A 'ha':3A,12A 'huyen':7A 'noi':13A 'pho':11A 'thanh':10A 'tien':5A 'xa':4A"
